PresionP332;QoP332;QwP332;phie;sw;K prom;hu;PresionP333;QoP333;QwP333;phie;sw;K prom;hu;PresionP334;QoP334;QwP334;phie;sw;K prom;hu;PresionP335;QoP335;QwP335;phie;sw;K prom;hu;t;QoP364;QwP364;QoP330;QwP330;QoP365;QwP365;QoP82;QwP82;QoP331;QwP331;QoP70;QwP70;QoP379;QwP379;QoP378;QwP378;QoP366;QwP366;QoP136;QwP136;QoP369;QwP369;QoP134;QwP134
290.4;101;152;0.2;0.3;55.9986;19.05;473.85;73;173;0.19;0.28;41.8679;20.88;258.332;80;112;0.22;0.28;71.611;22.4;97.936;205;60;0.22;0.31;75.5785;23.93;1;42;34;82;73;68;117;53;56;122;93;94;106;77;168;137;200;74;132;91;92;64;82;130;86
283.45;103;143;0.2;0.3;55.9986;19.05;447.73;74;165;0.19;0.28;41.8679;20.88;;75;115;0.22;0.28;71.611;22.4;91;199;67;0.22;0.31;75.5785;23.93;2;41;40;77;75;64;119;53;57;106;93;83;117;76;155;118;214;88;175;86;98;58;98;123;94
290.4;110;160;0.2;0.3;55.9986;19.05;447.73;71;184;0.19;0.28;41.8679;20.88;258.332;99;159;0.22;0.28;71.611;22.4;97.936;192;74;0.22;0.31;75.5785;23.93;3;43;45;87;89;46;98;53;71;124;148;79;120;72;179;96;224;128;210;79;101;64;103;117;98
290.4;102;164;0.2;0.3;55.9986;19.05;447.73;69;184;0.19;0.28;41.8679;20.88;258.332;103;187;0.22;0.28;71.611;22.4;97.936;196;68;0.22;0.31;75.5785;23.93;4;40;45;94;114;56;106;61;63;139;161;98;165;74;189;87;255;120;221;76;107;91;147;123;113
290.4;104;164;0.2;0.3;55.9986;19.05;447.73;62;198;0.19;0.28;41.8679;20.88;258.332;106;198;0.22;0.28;71.611;22.4;97.936;181;73;0.22;0.31;75.5785;23.93;5;50;50;96;114;61;112;63;82;134;169;139;206;74;173;83;238;117;228;77;100;90;154;132;126
290.4;103;154;0.2;0.3;55.9986;19.05;465.39;64;184;0.19;0.28;41.8679;20.88;258.332;122;190;0.22;0.28;71.611;22.4;97.936;161;84;0.22;0.31;75.5785;23.93;6;75;90;119;128;56;95;58;71;136;155;124;218;57;197;90;217;97;255;70;101;74;164;118;134
290.4;99;132;0.2;0.3;55.9986;19.05;465.39;60;174;0.19;0.28;41.8679;20.88;258.332;125;166;0.22;0.28;71.611;22.4;97.936;153;83;0.22;0.31;75.5785;23.93;7;72;86;147;146;70;98;56;70;138;155;118;210;58;173;92;215;107;225;56;117;80;138;109;137
293.8;104;142;0.2;0.3;55.9986;19.05;473.85;54;189;0.19;0.28;41.8679;20.88;266.932;115;177;0.22;0.28;71.611;22.4;97.936;142;99;0.22;0.31;75.5785;23.93;8;84;97;131;153;65;114;55;74;135;150;115;227;56;203;90;241;93;256;51;114;77;144;103;147
290.4;109;160;0.2;0.3;55.9986;19.05;465.39;53;197;0.19;0.28;41.8679;20.88;266.54;120;184;0.22;0.28;71.611;22.4;97.936;130;122;0.22;0.31;75.5785;23.93;9;82;101;119;162;67;129;48;81;121;170;111;234;51;213;79;252;85;261;61;149;71;170;101;168
283.45;96;144;0.2;0.3;55.9986;19.05;447.73;63;224;0.19;0.28;41.8679;20.88;258.332;103;183;0.22;0.28;71.611;22.4;97.936;151;181;0.22;0.31;75.5785;23.93;10;83;95;118;158;60;133;53;87;104;169;91;230;47;194;66;240;81;253;51;121;59;159;98;177
290.4;86;161;0.2;0.3;55.9986;19.05;447.73;31;207;0.19;0.28;41.8679;20.88;260.74;90;214;0.22;0.28;71.611;22.4;100.52;142;197;0.22;0.31;75.5785;23.93;11;76;101;107;168;62;136;49;102;91;189;87;240;38;215;46;262;70;262;46;125;47;161;92;187
294.35;62;179;0.2;0.3;55.9986;19.05;431.55;23;197;0.19;0.28;41.8679;20.88;260.74;73;252;0.22;0.28;71.611;22.4;106.32;149;203;0.22;0.31;75.5785;23.93;12;76;110;106;181;58;146;35;97;101;190;92;253;39;221;49;283;76;290;30;144;45;172;90;200
294.4;64;182;0.2;0.3;55.9986;19.05;477.87;18;218;0.19;0.28;41.8679;20.88;269.74;82;237;0.22;0.28;71.611;22.4;100.52;104;257;0.22;0.31;75.5785;23.93;13;67;132;102;181;49;158;33;105;87;197;81;267;31;231;54;273;61;310;35;145;47;184;73;223
289.8;77;179;0.2;0.3;55.9986;19.05;486.33;25;193;0.19;0.28;41.8679;20.88;252.54;57;244;0.22;0.28;71.611;22.4;100.52;92;270;0.22;0.31;75.5785;23.93;14;65;150;89;196;47;168;43;80;66;177;76;258;50;180;65;241;63;298;29;149;49;160;66;226
289.8;65;183;0.2;0.3;55.9986;19.05;486.33;37;176;0.19;0.28;41.8679;20.88;260.74;53;231;0.22;0.28;71.611;22.4;103;93;255;0.22;0.31;75.5785;23.93;15;66;138;87;177;54;175;44;94;66;188;80;247;44;194;57;238;59;291;33;145;39;163;69;216
290.35;49;195;0.2;0.3;55.9986;19.05;468.67;36;181;0.19;0.28;41.8679;20.88;260.74;63;232;0.22;0.28;71.611;22.4;103.92;93;257;0.22;0.31;75.5785;23.93;16;57;144;73;180;61;178;38;110;47;203;87;206;34;210;66;231;74;275;39;137;37;165;73;200
290.4;68;184;0.2;0.3;55.9986;19.05;486.33;31;195;0.19;0.28;41.8679;20.88;252.54;64;249;0.22;0.28;71.611;22.4;100.52;76;290;0.22;0.31;75.5785;23.93;17;57;172;89;177;48;164;46;121;68;203;65;262;41;210;47;258;65;282;39;143;37;165;60;232
290.4;73;176;0.2;0.3;55.9986;19.05;486.33;31;196;0.19;0.28;41.8679;20.88;252.54;68;253;0.22;0.28;71.611;22.4;100.52;57;283;0.22;0.31;75.5785;23.93;18;72;191;81;179;36;130;44;113;62;197;87;237;43;197;43;262;66;283;33;137;21;171;59;219
290.4;62;187;0.2;0.3;55.9986;19.05;473.85;25;208;0.19;0.28;41.8679;20.88;230.54;68;265;0.22;0.28;71.611;22.4;102;79;285;0.22;0.31;75.5785;23.93;19;78;183;75;180;20;147;45;123;63;221;70;257;40;230;41;266;56;299;29;137;11;186;59;226
;62;188;0.2;0.3;55.9986;19.05;473.85;19;213;0.19;0.28;41.8679;20.88;230.54;65;270;0.22;0.28;71.611;22.4;100.52;64;310;0.22;0.31;75.5785;23.93;20;68;175;72;197;20;171;50;113;57;229;76;242;38;230;34;267;52;303;22;150;12;190;54;234
283.45;56;194;0.2;0.3;55.9986;19.05;473.85;11;224;0.19;0.28;41.8679;20.88;252.54;62;277;0.22;0.28;71.611;22.4;116.92;60;329;0.22;0.31;75.5785;23.93;21;60;189;65;195;41;264;38;98;55;238;76;241;32;267;39;265;44;308;22;164;15;204;53;245
283.45;48;202;0.2;0.3;55.9986;19.05;;13;227;0.19;0.28;41.8679;20.88;261.54;69;270;0.22;0.28;71.611;22.4;103.92;90;296;0.22;0.31;75.5785;23.93;22;52;198;63;204;14;201;42;122;54;247;75;248;27;288;42;256;42;324;21;163;19;203;62;236
;28;218;0.2;0.3;55.9986;19.05;431.55;14;311;0.19;0.28;41.8679;20.88;;74;264;0.22;0.28;71.611;22.4;123.52;99;288;0.22;0.31;75.5785;23.93;23;63;186;66;189;21;222;42;133;70;227;81;240;36;272;39;249;46;320;24;158;23;190;68;229
286.45;26;195;0.2;0.3;55.9986;19.05;431.55;30;322;0.19;0.28;41.8679;20.88;266.54;71;256;0.22;0.28;71.611;22.4;115.92;79;293;0.22;0.31;75.5785;23.93;24;60;179;64;188;19;230;50;141;59;223;71;239;26;247;31;230;48;295;23;153;21;181;58;228
286.45;20;187;0.2;0.3;55.9986;19.05;;33;336;0.19;0.28;41.8679;20.88;266.54;56;255;0.22;0.28;71.611;22.4;115.92;77;270;0.22;0.31;75.5785;23.93;25;62;174;58;160;18;227;47;139;54;214;72;230;22;245;23;221;44;284;21;142;17;178;57;214
286.2;22;200;0.2;0.3;55.9986;19.05;;33;307;0.19;0.28;41.8679;20.88;275.94;43;262;0.22;0.28;71.611;22.4;132.92;78;264;0.22;0.31;75.5785;23.93;26;54;155;55;144;18;226;49;130;49;210;65;239;22;253;22;207;40;296;21;140;17;170;55;214
286.2;23;205;0.2;0.3;55.9986;19.05;415.35;30;277;0.19;0.28;41.8679;20.88;275.94;42;285;0.22;0.28;71.611;22.4;132.92;67;296;0.22;0.31;75.5785;23.93;27;37;128;58;154;15;214;53;134;49;217;54;258;30;254;22;219;33;310;22;140;21;167;48;231
285.75;27;199;0.2;0.3;55.9986;19.05;419.35;21;292;0.19;0.28;41.8679;20.88;225.54;39;292;0.22;0.28;71.611;22.4;132.92;68;303;0.22;0.31;75.5785;23.93;28;49;176;54;165;8;187;50;134;45;225;46;267;20;269;18;222;29;317;19;147;19;171;44;239
289.75;20;187;0.2;0.3;55.9986;19.05;442.55;10;312;0.19;0.28;41.8679;20.88;;50;277;0.22;0.28;71.611;22.4;120.32;94;284;0.22;0.31;75.5785;23.93;29;51;189;54;167;9;182;41;128;49;234;49;262;21;277;19;225;30;301;23;149;23;206;55;232
274.246;24;293;0.2;0.3;55.9986;19.05;424.43;23;353;0.19;0.28;41.8679;20.88;235.54;44;283;0.22;0.28;71.611;22.4;119.92;69;302;0.22;0.31;75.5785;23.93;30;42;183;45;171;7;216;47;148;39;231;40;254;25;276;17;222;29;314;19;150;21;233;43;235
256.392;27;279;0.2;0.3;55.9986;19.05;426.63;20;356;0.19;0.28;41.8679;20.88;265.74;48;280;0.22;0.28;71.611;22.4;150.12;75;300;0.22;0.31;75.5785;23.93;31;35;180;44;166;7;217;47;144;40;231;39;271;30;271;18;222;33;363;18;149;14;225;44;240
;23;274;0.2;0.3;55.9986;19.05;428.43;16;363;0.19;0.28;41.8679;20.88;279.24;42;286;0.22;0.28;71.611;22.4;171.72;67;303;0.22;0.31;75.5785;23.93;32;32;176;39;172;7;210;43;145;37;236;36;273;27;280;16;226;32;368;17;151;8;230;40;242
;21;250;0.2;0.3;55.9986;19.05;426.63;16;355;0.19;0.28;41.8679;20.88;268.79;39;285;0.22;0.28;71.611;22.4;171.9;56;306;0.22;0.31;75.5785;23.93;33;38;161;34;183;5;185;38;145;33;240;33;272;23;282;13;233;29;360;17;153;9;224;35;244
213.25;23;241;0.2;0.3;55.9986;19.05;;25;334;0.19;0.28;41.8679;20.88;264.99;39;290;0.22;0.28;71.611;22.4;169.72;52;327;0.22;0.31;75.5785;23.93;34;42;180;37;184;2;191;38;145;36;239;32;276;21;292;14;232;26;386;17;153;8;224;34;252
241.904;23;236;0.2;0.3;55.9986;19.05;;24;318;0.19;0.28;41.8679;20.88;;42;293;0.22;0.28;71.611;22.4;162.92;50;334;0.22;0.31;75.5785;23.93;35;34;175;38;186;4;174;38;142;36;245;34;279;18;297;16;235;28;378;17;157;7;215;34;257
245.764;44;222;0.2;0.3;55.9986;19.05;426.95;21;298;0.19;0.28;41.8679;20.88;278.19;51;283;0.22;0.28;71.611;22.4;166.92;35;328;0.22;0.31;75.5785;23.93;36;55;161;59;172;4;160;35;122;33;225;31;259;27;287;25;225;37;368;2;151;0;209;19;251
242.77;35;212;0.2;0.3;55.9986;19.05;442.55;19;304;0.19;0.28;41.8679;20.88;275.44;38;295;0.22;0.28;71.611;22.4;192.5;62;313;0.22;0.31;75.5785;23.93;37;46;151;50;162;0;150;33;128;31;231;29;265;14;299;12;237;24;380;29;136;0;194;46;236
240.77;33;217;0.2;0.3;55.9986;19.05;451.55;16;306;0.19;0.28;41.8679;20.88;291.89;34;307;0.22;0.28;71.611;22.4;192.5;64;320;0.22;0.31;75.5785;23.93;38;44;156;48;167;0;155;30;130;28;233;26;267;10;311;8;249;20;392;31;143;0;201;48;243
;32;244;0.2;0.3;55.9986;19.05;470.55;15;306;0.19;0.28;41.8679;20.88;244.54;31;297;0.22;0.28;71.611;22.4;184.92;47;336;0.22;0.31;75.5785;23.93;39;43;183;47;194;0;182;29;130;27;233;25;267;7;301;5;239;17;382;14;159;0;217;31;259
231.57;30;217;0.2;0.3;55.9986;19.05;434.23;12;298;0.19;0.28;41.8679;20.88;295.69;28;320;0.22;0.28;71.611;22.4;213.92;44;334;0.22;0.31;75.5785;23.93;40;41;156;45;167;0;155;26;122;24;225;22;259;4;324;2;262;14;405;11;157;0;215;28;257
216.19;32;222;0.2;0.3;55.9986;19.05;461.75;15;395;0.19;0.28;41.8679;20.88;301.64;27;319;0.22;0.28;71.611;22.4;204.92;49;328;0.22;0.31;75.5785;23.93;41;43;161;47;172;0;160;29;219;27;322;25;356;3;323;1;261;13;404;16;151;0;209;33;251
216.19;33;210;0.2;0.3;55.9986;19.05;471.35;18;389;0.19;0.28;41.8679;20.88;302.54;27;317;0.22;0.28;71.611;22.4;215.72;44;339;0.22;0.31;75.5785;23.93;42;44;149;48;160;0;148;32;213;30;316;28;350;3;321;1;259;13;402;11;162;0;220;28;262
207.39;32;195;0.2;0.3;55.9986;19.05;461.75;18;389;0.19;0.28;41.8679;20.88;297.09;26;319;0.22;0.28;71.611;22.4;222.92;44;347;0.22;0.31;75.5785;23.93;43;43;134;47;145;0;133;32;213;30;316;28;350;2;323;0;261;12;404;11;170;0;228;28;270
201.13;33;227;0.2;0.3;55.9986;19.05;459.95;18;395;0.19;0.28;41.8679;20.88;284.64;23;326;0.22;0.28;71.611;22.4;222.92;47;350;0.22;0.31;75.5785;23.93;44;44;166;48;177;0;165;32;219;30;322;28;356;1;330;0;268;9;411;14;173;0;231;31;273
;32;248;0.2;0.3;55.9986;19.05;471.35;20;397;0.19;0.28;41.8679;20.88;288.44;20;329;0.22;0.28;71.611;22.4;232.92;36;365;0.22;0.31;75.5785;23.93;45;43;187;47;198;0;186;34;221;32;324;30;358;1;333;0;271;6;414;3;188;0;246;20;288
;30;255;0.2;0.3;55.9986;19.05;471.35;22;391;0.19;0.28;41.8679;20.88;306.54;22;313;0.22;0.28;71.611;22.4;224.92;33;351;0.22;0.31;75.5785;23.93;46;41;194;45;205;0;193;36;215;34;318;32;352;1;317;0;255;8;398;0;174;0;232;17;274
243.93;26;261;0.2;0.3;55.9986;19.05;487.95;22;394;0.19;0.28;41.8679;20.88;288.44;29;308;0.22;0.28;71.611;22.4;234.92;32;353;0.22;0.31;75.5785;23.93;47;37;200;41;211;0;199;36;218;34;321;32;355;1;312;0;250;15;393;0;176;0;234;16;276
223.93;26;275;0.2;0.3;55.9986;19.05;450.95;18;374;0.19;0.28;41.8679;20.88;264.54;25;303;0.22;0.28;71.611;22.4;229.92;42;344;0.22;0.31;75.5785;23.93;48;37;214;41;225;0;213;32;198;30;301;28;335;1;307;0;245;11;388;0;167;0;225;26;267
225.93;29;254;0.2;0.3;55.9986;19.05;449.95;20;339;0.19;0.28;41.8679;20.88;294.84;24;291;0.22;0.28;71.611;22.4;231.1;33;329;0.22;0.31;75.5785;23.93;49;40;193;44;204;0;192;34;163;32;266;30;300;1;295;0;233;10;376;0;152;0;210;17;252
204.93;21;267;0.2;0.3;55.9986;19.05;440.95;18;353;0.19;0.28;41.8679;20.88;241.79;16;337;0.22;0.28;71.611;22.4;243.92;32;347;0.22;0.31;75.5785;23.93;50;32;206;36;217;0;205;32;177;30;280;28;314;1;341;0;279;2;422;0;170;0;228;16;270
;21;261;0.2;0.3;55.9986;19.05;488.95;16;342;0.19;0.28;41.8679;20.88;283.54;19;327;0.22;0.28;71.611;22.4;249.1;28;334;0.22;0.31;75.5785;23.93;51;32;200;36;211;0;199;30;166;28;269;26;303;1;331;0;269;5;412;0;157;0;215;12;257
;19;261;0.2;0.3;55.9986;19.05;478.95;16;341;0.19;0.28;41.8679;20.88;277.79;22;321;0.22;0.28;71.611;22.4;272.92;25;325;0.22;0.31;75.5785;23.93;52;30;200;34;211;0;199;30;165;28;268;26;302;0;325;0;263;8;406;0;148;0;206;9;248
;21;261;0.2;0.3;55.9986;19.05;487.95;13;342;0.19;0.28;41.8679;20.88;279;24;320;0.22;0.28;71.611;22.4;265;25;324;0.22;0.31;75.5785;23.93;53;32;200;36;211;0;199;27;166;25;269;23;303;0;324;0;262;10;405;0;147;0;205;9;247
;23;249;0.2;0.3;55.9986;19.05;497.95;10;341;0.19;0.28;41.8679;20.88;281;25;317;0.22;0.28;71.611;22.4;267;22;311;0.22;0.31;75.5785;23.93;54;34;188;38;199;0;187;24;165;22;268;20;302;0;321;0;259;11;402;0;134;0;192;6;234
213.23;23;228;0.2;0.3;55.9986;19.05;;10;333;0.19;0.28;41.8679;20.88;276;27;317;0.22;0.28;71.611;22.4;270;23;296;0.22;0.31;75.5785;23.93;55;34;167;38;178;0;166;24;157;22;260;20;294;0;321;0;259;13;402;0;119;0;177;7;219
280.23;19;224;0.2;0.3;55.9986;19.05;430.95;14;341;0.19;0.28;41.8679;20.88;280;26;331;0.22;0.28;71.611;22.4;273;22;315;0.22;0.31;75.5785;23.93;56;30;163;34;174;0;162;28;165;26;268;24;302;0;335;0;273;12;416;0;138;0;196;6;238
261.23;17;210;0.2;0.3;55.9986;19.05;430.95;17;311;0.19;0.28;41.8679;20.88;297.79;23;314;0.22;0.28;71.611;22.4;276;20;293;0.22;0.31;75.5785;23.93;57;28;149;32;160;0;148;31;135;29;238;27;272;0;318;0;256;9;399;0;116;0;174;4;216
242.23;18;209;0.2;0.3;55.9986;19.05;459.95;10;299;0.19;0.28;41.8679;20.88;231.79;22;315;0.22;0.28;71.611;22.4;292.82;19;277;0.22;0.31;75.5785;23.93;58;29;148;33;159;0;147;24;123;22;226;20;260;0;319;0;257;8;400;0;100;0;158;3;200
223.23;18;205;0.2;0.3;55.9986;19.05;478.95;10;313;0.19;0.28;41.8679;20.88;297.79;22;315;0.22;0.28;71.611;22.4;281;20;285;0.22;0.31;75.5785;23.93;59;29;144;33;155;0;143;24;137;22;240;20;274;0;319;0;257;8;400;0;108;0;166;4;208
261.23;19;198;0.2;0.3;55.9986;19.05;459.95;9;307;0.19;0.28;41.8679;20.88;288.79;22;309;0.22;0.28;71.611;22.4;292.82;19;275;0.22;0.31;75.5785;23.93;60;30;137;34;148;0;136;23;131;21;234;19;268;0;313;0;251;8;394;0;98;0;156;3;198
289.23;19;195;0.2;0.3;55.9986;19.05;459.95;7;295;0.19;0.28;41.8679;20.88;297.79;26;303;0.22;0.28;71.611;22.4;292.82;17;269;0.22;0.31;75.5785;23.93;61;30;134;34;145;0;133;21;119;19;222;17;256;0;307;0;245;12;388;0;92;0;150;1;192
242.23;17;189;0.2;0.3;55.9986;19.05;497.95;5;282;0.19;0.28;41.8679;20.88;259.79;25;300;0.22;0.28;71.611;22.4;292.82;16;264;0.22;0.31;75.5785;23.93;62;28;128;32;139;0;127;19;106;17;209;15;243;0;304;0;242;11;385;0;87;0;145;0;187
277.23;16;191;0.2;0.3;55.9986;19.05;482.55;6;286;0.19;0.28;41.8679;20.88;278.79;23;307;0.22;0.28;71.611;22.4;309.82;14;247;0.22;0.31;75.5785;23.93;63;27;130;31;141;0;129;20;110;18;213;16;247;0;311;0;249;9;392;0;70;0;128;0;170
270.23;12;197;0.2;0.3;55.9986;19.05;;5;307;0.19;0.28;41.8679;20.88;231.79;19;300;0.22;0.28;71.611;22.4;300.82;11;235;0.22;0.31;75.5785;23.93;64;23;136;27;147;0;135;19;131;17;234;15;268;0;304;0;242;5;385;0;58;0;116;0;158
299.23;11;204;0.2;0.3;55.9986;19.05;487.95;4;309;0.19;0.28;41.8679;20.88;259.79;19;305;0.22;0.28;71.611;22.4;328.82;11;242;0.22;0.31;75.5785;23.93;65;22;143;26;154;0;142;18;133;16;236;14;270;0;309;0;247;5;390;0;65;0;123;0;165
289.23;11;202;0.2;0.3;55.9986;19.05;482.55;4;303;0.19;0.28;41.8679;20.88;288.79;21;303;0.22;0.28;71.611;22.4;290.82;10;232;0.22;0.31;75.5785;23.93;66;22;141;26;152;0;140;18;127;16;230;14;264;0;307;0;245;7;388;0;55;0;113;0;155
